#Gamma = 1.333333333333333333333333 Rcr = 8. uu1cr = -0.25 rhocr = 0.000421875
#Nx = 128 Rin = 1.9 Rout = 20. R0 = 0 xstart = 0.641853886172394775991036 dx = 0.01838967490141872044878272 istart = -11
# i	myx	myr	rho	uu1	u
-11 0.448762299707498211278817 1.566372285794308686090728 0.003023430191030683344 -0.9099422835063953615 0.001311559050624156916
-10 0.4671519746089169317276 1.595443851948972326493341 0.002950015260754908537 -0.898910515028551756 0.001269268800434609796
-9 0.485541649510335652176383 1.625054980739128081208605 0.002878491625218481405 -0.8879789778698737419 0.001228403980466425325
-8 0.503931324411754372625166 1.655215686342755573590617 0.002808809325768480908 -0.8771468892847934422 0.0011889153454802836368
-7 0.522320999313173093073948 1.685936168799037577408671 0.002740919744784247215 -0.8664134745310479317 0.0011507553798798625335
-6 0.540710674214591813522731 1.717226817457907938484968 0.002674775569365645728 -0.8557779667960832595 0.0011138782362840851943
-5 0.559100349116010533971514 1.749098214493622437440948 0.002610330756008853083 -0.8452396071242300487 0.00107823967629713169
-4 0.577490024017429254420296 1.78156113848354084693537 0.002547540496242773669 -0.8347976443446383582 0.001043797013397215869
-3 0.595879698918847974869079 1.814626568053330490529874 0.00248636118319992689 -0.8244513349999591136 0.0010105090578679761986
-2 0.614269373820266695317862 1.848305685589824073383692 0.002426750379096357211 -0.8141999432757590232 0.0009783360636990734349
-1 0.632659048721685415766645 1.882609881022787434955283 0.00236866678359581143 -0.8040427409306554888 0.0009472396773852332685
0 0.651048723623104136215427 1.917550755676876178512716 0.002312070203034101267 -0.7939790072271576088 0.0009171828885555219172
1 0.66943839852452285666421 1.953140126195083869407932 0.002256921520480224655 -0.784008028863198937 0.0008881299823671004655
2 0.687828073425941577112993 1.989390028535008671780335 0.002203182666611456588 -0.7741290999043472226 0.0008600464936000728953
3 0.706217748327360297561775 2.026312722039289919799097 0.002150816591380240549 -0.7643415217166758973 0.0008328991623923264226
4 0.724607423228779018010558 2.063920693581591203059477 0.002099787236451314848 -0.7546446029002816106 0.0008066558915554640267
