#Gamma = 1.333333333333333333333333 Rcr = 8. uu1cr = -0.25 rhocr = 0.000421875
#Nx = 32 Rin = 1.9 Rout = 20. R0 = 0 xstart = 0.641853886172394775991036 dx = 0.0735586996056748817951309 istart = -11
# i	myx	myr	rho	uu1	u
-11 -0.130512459687191482857838 0.877645557691499908391123 0.006670945633569420837 -1.3136451104762773374 0.003767365789691551485
-10 -0.056953760081516601062707 0.944637748329138812143601 0.006023265068228767252 -1.2558599318738953349 0.003287738159757253738
-9 0.016604939524158280732424 1.016743567774100077510824 0.00544083193389914549 -1.2000949127627426429 0.002870835684366031726
-8 0.090163639129833162527555 1.094353348083451643510158 0.004916956301410835073 -1.1462841368558143299 0.002508320645963308342
-7 0.163722338735508044322685 1.17788721602962223583197 0.004445641542273356197 -1.0943642925052946351 0.002192975825087694189
-6 0.237281038341182926117816 1.267797367382124724716077 0.004021512075415789502 -1.0442745753920406738 0.00191855280756391812
-5 0.310839737946857807912947 1.364570514789103967377525 0.00363974866236375964 -0.9959565951908557842 0.001679640926411835632
-4 0.384398437552532689708078 1.468730522509881472844291 0.003296030461974109076 -0.9493542861006637845 0.001471554023377172833
-3 0.457957137158207571503209 1.580841242261153938238429 0.002986483138236903156 -0.9044138211163223609 0.001290232599634028153
-2 0.53151583676388245329834 1.701509565528195779466543 0.002707632388442383265 -0.8610835299042448689 0.0011321592572622953192
-1 0.605074536369557335093471 1.831388708864210662732455 0.002456362325095884522 -0.819313820127065092 0.000994285619757063056
0 0.678633235975232216888601 1.971181749962217039889618 0.002229878204150724595 -0.7790571020430785157 0.00087396916729008429
1 0.752191935580907098683732 2.121645433641365299304778 0.002025673045137750055 -0.7402677161838986068 0.0007689186360749406871
2 0.825750635186581980478863 2.283594268350718018199013 0.00184149773624542851 -0.7029018638884292804 0.000677146815613991233
3 0.899309334792256862273994 2.457904935366189531291183 0.001675334259923547363 -0.6669175404426193045 0.000596929736820345175
4 0.972868034397931744069125 2.645521034549049955403513 0.001525371712663847783 -0.6322744705422866677 0.0005267713814595515754
5 1.046426734003606625864256 2.847458192356315109861957 0.0013899848267154085459 -0.598934045760377194 0.0004653731620196053155
6 1.119985433609281507659387 3.064809559754330068593665 0.0012677147320360834255 -0.5668592636602286704 0.0004116075235634062536
7 1.193544133214956389454517 3.298751729797525823091301 0.0011572517241353063186 -0.5360146681527610038 0.0003644951075628214951
8 1.267102832820631271249648 3.550551106906111472783813 0.0010574198279609062338 -0.506366290648222095 0.0003231849940725549243
9 1.340661532426306153044779 3.821570762321656384587688 0.0009671629699213632837 -0.4778815915027032435 0.0002869376045278780099
10 1.41422023203198103483991 4.11327781285135448959613 0.0008855325897823244795 -0.4505294012070228451 0.0002551099043696682191
11 1.487778931637655916635041 4.42725136284449329845905 0.000811676541771582405 -0.4242798607122364702 0.0002271425938447808552
12 1.561337631243330798430172 4.76519105239360780138814 0.0007448291499846841478 -0.3991043602341455135 0.0002025490177627693966
13 1.634896330849005680225303 5.12892625803448916467881 0.00068430229729626884 -0.3749754758318095906 0.0001809055616292006168
14 1.708455030454680562020433 5.52042599575140488821743 0.0006294774396226593049 -0.3518669030163518589 0.0001618433332136075703
15 1.782013730060355443815564 5.94180957989569171377325 0.0005797984487039151225 -0.3297533866216557236 0.0001450409559304634369
16 1.855572429666030325610695 6.39535809571788546659732 0.0005347651967173314046 -0.3086106461646378813 0.000130218324004887336
17 1.929131129271705207405826 6.88352674761790450442665 0.0004939278051237984005 -0.2884152959478322518 0.0001171311897708075712
18 2.002689828877380089200957 7.40895814995834771899887 0.0004568814882952309234 -0.2691447592205737463 0.0001055664710479921084
19 2.076248528483054970996088 7.97449663238836618073723 0.0004232619297755319938 -0.2507771758277455294 0.0000953381817454987246
20 2.149807228088729852791219 8.58320363711744046421392 0.0003927411355788149348 -0.2332913029479722606 0.000086283901970501454
21 2.22336592769440473458635 9.23837429148947271990656 0.0003650237148067422478 -0.2166664087670060764 0.00007826171526601438953
22 2.29692462730007961638148 9.94355524556988223309053 0.0003398435431427712035 -0.2008821592557774616 0.00007114755040285787084
23 2.370483326905754498176611 10.70256387130631660537709 0.0003169607695173971548 -0.1859184986314757078 0.00006483287362086073484
24 2.444042026511429379971742 11.51950892719422782642271 0.0002961591304898803073 -0.1717555245735380492 0.00005922268453334081446
25 2.517600726117104261766873 12.39881280031181300875758 0.0002772435407057713981 -0.1583733598356604476 0.00005423377523386775973
26 2.591159425722779143562004 13.34523544612762868122186 0.000260037931206275397 -0.1457520225201636214 0.00004979321761004564346
27 2.664718125328454025357135 14.36390015567477860397395 0.0002443833104193051018 -0.1338712979297136737 0.00004583704859172712337
