Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.28      1.06     1.06 12563884     0.00     0.00  ffdestresstensor_dir
  9.62      1.89     0.83 12563884     0.00     0.00  mhd_calc_norestmass
  5.91      2.40     0.51 16724736     0.00     0.00  slope_lim_3points
  5.91      2.91     0.51 14421792     0.00     0.00  UtoU
  4.87      3.33     0.42  2520000     0.00     0.00  func_Eprime
  4.87      3.75     0.42     1344     0.31     0.69  slope_lim_pointtype
  4.52      4.14     0.39       84     4.64    50.56  fluxcalc
  3.82      4.47     0.33 14055893     0.00     0.00  get_geometry
  3.36      4.76     0.29  9314020     0.00     0.00  get_state
  2.67      4.99     0.23  1730736     0.00     0.00  flux_compute
  2.43      5.20     0.21  6952712     0.00     0.00  primtoflux
  2.43      5.41     0.21 11801260     0.00     0.00  ucon_calc_rel4vel
  2.32      5.61     0.20   475693     0.00     0.00  dxdxp_numerical
  1.97      5.78     0.17  1730736     0.00     0.00  flux_compute_general
  1.74      5.93     0.15  2738656     0.00     0.00  simplefast
  1.62      6.07     0.14      168     0.83    21.84  fluxcalc_standard
  1.39      6.19     0.12        1   120.00   120.13  init_dumps
  1.39      6.31     0.12  1730736     0.00     0.00  getplpr
  1.27      6.42     0.11   840000     0.00     0.00  Wp2prim
  1.27      6.53     0.11   840000     0.00     0.00  diag_source_comp
  1.27      6.64     0.11       84     1.31    85.74  advance_standard
  1.16      6.74     0.10      110     0.91     1.17  current_doprecalc
  1.04      6.83     0.09 10019286     0.00     0.00  bl_coord
  1.04      6.92     0.09  5477312     0.00     0.00  raise_vec
  1.04      7.01     0.09  4480084     0.00     0.00  myset
  1.04      7.10     0.09  2251172     0.00     0.00  primtoU
  1.04      7.19     0.09   840000     0.00     0.00  source
  0.93      7.27     0.08  1681892     0.00     0.00  myfwrite
  0.93      7.35     0.08  1428864     0.00     0.00  image_content
  0.93      7.43     0.08   840000     0.00     0.00  flux2dUavg
  0.93      7.51     0.08       32     2.50    11.87  compute_vorticity
