stress list for a=0 i=10 j=12 eqn(x below)=2
                       allparts           puuud         rhouuud           uuuud         bsquuud       pgasdelta         pbdelta           -bubd
       allterms               1              -0              -0              -0       -52.51965              -0        73.98188       -20.46224
       -DgT12Dr        80.49957              -0              -0              -0        60.75599              -0              -0        19.74358
       -DgT22Dh        -248.211              -0              -0              -0       -269.8106              -0        56.72163         -35.122
       gT00c0x0               0               0               0               0               0              -0              -0              -0
       gT01c1x0              -0              -0              -0              -0              -0              -0              -0               0
       gT02c2x0               0               0               0               0               0              -0              -0              -0
       gT03c3x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT10c0x1               0               0               0               0               0              -0              -0              -0
       gT11c1x1              -0              -0              -0              -0              -0              -0              -0               0
       gT12c2x1               0               0               0               0               0              -0              -0              -0
       gT13c3x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT20c0x2              -0              -0              -0              -0              -0              -0              -0               0
       gT21c1x2               0               0               0               0               0              -0              -0              -0
       gT22c2x2        168.7114               0               0               0         156.535               0        17.26025        -5.08382
       gT23c3x2               0               0               0               0               0              -0              -0               0
       gT30c0x3               0               0               0               0               0              -0              -0               0
       gT31c1x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT32c2x3               0               0               0               0               0              -0              -0               0
       gT33c3x3              -0              -0              -0              -0              -0              -0              -0               0
            ck0               0               0               0               0               0              -0              -0              -0
            ck1               0               0               0               0               0              -0              -0              -0
            ck2              -0              -0              -0              -0              -0              -0              -0               0
            ck3               0               0               0               0               0              -0              -0               0
           1           0           0           0           1           0           1           1           1
average stress between i=9 to 11 and j=10 to 13
                       allparts           puuud         rhouuud           uuuud         bsquuud       pgasdelta         pbdelta           -bubd
       allterms               1              -0              -0              -0       -47.08581              -0        66.05786       -17.97205
       -DgT12Dr        72.01918              -0              -0              -0         54.6835              -0              -0        17.33568
       -DgT22Dh       -234.3019              -0              -0              -0       -253.9761              -0        50.47485       -30.80067
       gT00c0x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT01c1x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT02c2x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT03c3x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT10c0x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT11c1x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT12c2x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT13c3x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT20c0x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT21c1x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT22c2x2        163.2827              -0              -0              -0        152.2068              -0        15.58301       -4.507068
       gT23c3x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT30c0x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT31c1x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT32c2x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT33c3x3              -0              -0              -0              -0              -0              -0              -0              -0
            ck0              -0              -0              -0              -0              -0              -0              -0              -0
            ck1              -0              -0              -0              -0              -0              -0              -0              -0
            ck2              -0              -0              -0              -0              -0              -0              -0              -0
            ck3              -0              -0              -0              -0              -0              -0              -0              -0
           1           0           0           0           1           0           1           1           1
