stress list for a=0 i=10 j=12 eqn(x below)=1
                       allparts           puuud         rhouuud           uuuud         bsquuud       pgasdelta         pbdelta           -bubd
       allterms               1              -0              -0              -0       -643.3441              -0       -15.95255        660.2966
       -DgT11Dr        450.2271              -0              -0              -0        29.59638              -0        426.6055       -5.974802
       -DgT21Dh       -38.66066              -0              -0              -0       -50.42675              -0              -0        11.76609
       gT00c0x0               0               0               0               0               0              -0              -0              -0
       gT01c1x0              -0              -0              -0              -0              -0              -0              -0               0
       gT02c2x0               0               0               0               0               0              -0              -0              -0
       gT03c3x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT10c0x1               0               0               0               0               0              -0              -0              -0
       gT11c1x1       -63.82036              -0              -0              -0       -5.847073              -0       -58.16319       0.1898966
       gT12c2x1               0               0               0               0               0              -0              -0              -0
       gT13c3x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT20c0x2              -0              -0              -0              -0              -0              -0              -0               0
       gT21c1x2               0               0               0               0               0              -0              -0              -0
       gT22c2x2              -0              -0              -0              -0              -0              -0              -0               0
       gT23c3x2               0               0               0               0               0              -0              -0               0
       gT30c0x3               0               0               0               0               0              -0              -0               0
       gT31c1x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT32c2x3               0               0               0               0               0              -0              -0               0
       gT33c3x3       -346.7461              -0              -0              -0       -616.6667              -0       -384.3949        654.3155
           1           0           0           0           1           0           1           1           1
average stress between i=9 to 11 and j=10 to 13
                       allparts           puuud         rhouuud           uuuud         bsquuud       pgasdelta         pbdelta           -bubd
       allterms               1              -0              -0              -0       -606.3772              -0       -13.78193        621.1591
       -DgT11Dr        423.5506              -0              -0              -0        28.33511              -0        400.7064       -5.490849
       -DgT21Dh       -37.54373              -0              -0              -0       -48.35943              -0              -0         10.8157
       gT00c0x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT01c1x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT02c2x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT03c3x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT10c0x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT11c1x1       -59.85243              -0              -0              -0       -5.503497              -0       -54.52813       0.1792032
       gT12c2x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT13c3x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT20c0x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT21c1x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT22c2x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT23c3x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT30c0x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT31c1x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT32c2x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT33c3x3       -325.1545              -0              -0              -0       -580.8494              -0       -359.9602        615.6551
           1           0           0           0           1           0           1           1           1
