stress list for a=0 i=10 j=12 eqn(x below)=1
                       allparts           puuud         rhouuud           uuuud         bsquuud       pgasdelta         pbdelta           -bubd
       allterms               1              -0              -0              -0       -442.8079              -0        -10.7757        454.5836
       -DgT11Dr       -24.05207              -0              -0              -0       -10.21196              -0        -10.7757       -3.064414
       -DgT21Dh       -50.28872              -0              -0              -0         -59.229              -0              -0        8.940279
       gT00c0x0               0               0               0               0               0              -0              -0              -0
       gT01c1x0              -0              -0              -0              -0              -0              -0              -0               0
       gT02c2x0               0               0               0               0               0              -0              -0              -0
       gT03c3x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT10c0x1               0               0               0               0               0              -0              -0              -0
       gT11c1x1       -43.92771              -0              -0              -0       -4.024555              -0       -40.03386       0.1307063
       gT12c2x1               0               0               0               0               0              -0              -0              -0
       gT13c3x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT20c0x2              -0              -0              -0              -0              -0              -0              -0               0
       gT21c1x2               0               0               0               0               0              -0              -0              -0
       gT22c2x2              -0              -0              -0              -0              -0              -0              -0               0
       gT23c3x2               0               0               0               0               0              -0              -0               0
       gT30c0x3               0               0               0               0               0              -0              -0               0
       gT31c1x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT32c2x3               0               0               0               0               0              -0              -0               0
       gT33c3x3       -238.6662              -0              -0              -0       -424.4531              -0       -264.5799        450.3669
            ck0              -0              -0              -0              -0              -0              -0              -0               0
            ck1        334.2417               0               0               0        30.62245               0        304.6138      -0.9945316
            ck2        23.69296               0               0               0        24.48827              -0              -0      -0.7953107
            ck3              -0              -0              -0              -0              -0              -0              -0              -0
           1           0           0           0           1           0           1           1           1
average stress between i=9 to 11 and j=10 to 13
                       allparts           puuud         rhouuud           uuuud         bsquuud       pgasdelta         pbdelta           -bubd
       allterms               1              -0              -0              -0       -435.4329              -0       -9.415248        445.8482
       -DgT11Dr        -21.9125              -0              -0              -0       -9.623907              -0       -9.415248       -2.873347
       -DgT21Dh       -50.87128              -0              -0              -0       -59.27249              -0              -0        8.401211
       gT00c0x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT01c1x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT02c2x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT03c3x0              -0              -0              -0              -0              -0              -0              -0              -0
       gT10c0x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT11c1x1       -42.60354              -0              -0              -0       -3.924035              -0       -38.80463       0.1251172
       gT12c2x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT13c3x1              -0              -0              -0              -0              -0              -0              -0              -0
       gT20c0x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT21c1x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT22c2x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT23c3x2              -0              -0              -0              -0              -0              -0              -0              -0
       gT30c0x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT31c1x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT32c2x3              -0              -0              -0              -0              -0              -0              -0              -0
       gT33c3x3       -233.1022              -0              -0              -0       -417.0295              -0       -257.9583        441.8856
            ck0              -0              -0              -0              -0              -0              -0              -0              -0
            ck1        325.8858              -0              -0              -0        30.06228              -0        296.7629      -0.9394001
            ck2        23.60369              -0              -0              -0         24.3547              -0              -0       -0.751011
            ck3              -0              -0              -0              -0              -0              -0              -0              -0
           1           0           0           0           1           0           1           1           1
